TCP,RT Dose Schedule
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.7, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.7, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
0.9993618947946161,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.1, 1.7, 1.1, 1.1]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
1.0,"[1.0, 2.6, 2.6, 1.4, 1.4, 2.6, 1.4, 2.3, 2.3, 2.3, 2.3, 3.0, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7, 1.7]"
