TCP,RT Dose Schedule
0.36787944117144233,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.4, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.4, 1.0, 1.0, 1.0, 2.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
0.4473418104880027,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
0.4473418104880027,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1]"
0.4473418104880027,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
0.36787944117144233,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.7, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1, 2.1]"
1.0,"[2.9, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.1]"
